Tương_Tác_Quảng_Cáo,Ảnh_Hưởng_Mạng_Xã_Hội,Độ_Nhạy_Cảm_Giá,Sử_Dụng_Giảm_Giá,Ưu_Tiên_Vận_Chuyển,MarketingKey
None,None,Somewhat Sensitive,True,No Preference,1
High,Medium,Not Sensitive,True,Standard,2
Low,Low,Not Sensitive,True,No Preference,3
None,High,Somewhat Sensitive,True,Express,4
None,Medium,Not Sensitive,False,No Preference,5
None,High,Not Sensitive,False,No Preference,6
Low,High,Somewhat Sensitive,True,Express,7
None,Low,Somewhat Sensitive,False,No Preference,8
High,Low,Very Sensitive,False,Standard,9
Medium,None,Somewhat Sensitive,True,No Preference,10
High,Low,Not Sensitive,True,Express,11
High,Medium,Very Sensitive,True,No Preference,12
High,Low,Very Sensitive,True,No Preference,13
High,High,Not Sensitive,False,Standard,14
Medium,None,Not Sensitive,True,No Preference,15
High,Medium,Somewhat Sensitive,False,Express,16
Medium,Low,Very Sensitive,False,Standard,17
None,High,Very Sensitive,True,No Preference,18
None,Medium,Not Sensitive,False,Standard,19
Low,None,Very Sensitive,False,Standard,20
Medium,None,Very Sensitive,True,No Preference,21
None,Medium,Very Sensitive,True,Express,22
None,Medium,Not Sensitive,True,Standard,23
Low,High,Not Sensitive,False,Standard,24
High,None,Very Sensitive,True,Standard,25
High,High,Not Sensitive,True,Standard,26
High,High,Somewhat Sensitive,True,Standard,27
None,Medium,Very Sensitive,False,Express,28
High,Low,Somewhat Sensitive,False,No Preference,29
High,High,Very Sensitive,True,Standard,30
None,None,Very Sensitive,True,Express,31
Medium,Medium,Somewhat Sensitive,False,Express,32
None,None,Somewhat Sensitive,True,Standard,33
None,None,Not Sensitive,True,No Preference,34
Medium,Low,Somewhat Sensitive,True,Express,35
Medium,None,Not Sensitive,True,Standard,36
High,High,Somewhat Sensitive,True,Express,37
None,High,Not Sensitive,True,No Preference,38
Low,Medium,Very Sensitive,False,No Preference,39
High,Medium,Somewhat Sensitive,True,No Preference,40
High,High,Not Sensitive,True,No Preference,41
Low,None,Very Sensitive,True,Standard,42
Medium,None,Somewhat Sensitive,False,Standard,43
High,None,Very Sensitive,True,Express,44
Medium,None,Very Sensitive,True,Standard,45
None,High,Somewhat Sensitive,False,No Preference,46
Low,None,Very Sensitive,True,No Preference,47
High,Low,Somewhat Sensitive,False,Standard,48
Low,None,Somewhat Sensitive,True,No Preference,49
Low,Medium,Not Sensitive,False,No Preference,50
Low,Medium,Not Sensitive,True,Standard,51
High,Low,Very Sensitive,True,Express,52
Medium,High,Not Sensitive,True,Standard,53
None,Medium,Very Sensitive,False,No Preference,54
Medium,High,Not Sensitive,False,Express,55
Medium,None,Somewhat Sensitive,False,Express,56
Medium,None,Not Sensitive,False,No Preference,57
Low,Medium,Very Sensitive,True,Standard,58
High,None,Somewhat Sensitive,True,Standard,59
None,High,Very Sensitive,True,Express,60
None,High,Somewhat Sensitive,True,Standard,61
High,High,Somewhat Sensitive,False,Express,62
Low,Low,Not Sensitive,False,No Preference,63
High,High,Not Sensitive,False,No Preference,64
None,High,Very Sensitive,False,Express,65
Low,High,Somewhat Sensitive,True,No Preference,66
Medium,Low,Somewhat Sensitive,True,Standard,67
Low,High,Very Sensitive,False,Standard,68
High,Medium,Somewhat Sensitive,False,Standard,69
None,Medium,Not Sensitive,False,Express,70
None,None,Not Sensitive,False,Express,71
Medium,Low,Somewhat Sensitive,True,No Preference,72
Low,Medium,Very Sensitive,False,Standard,73
High,Medium,Not Sensitive,False,Express,74
High,Low,Somewhat Sensitive,True,No Preference,75
High,Low,Very Sensitive,False,No Preference,76
Medium,Medium,Very Sensitive,False,No Preference,77
None,High,Somewhat Sensitive,True,No Preference,78
High,None,Very Sensitive,True,No Preference,79
None,Low,Not Sensitive,False,Standard,80
High,Medium,Somewhat Sensitive,False,No Preference,81
Medium,Medium,Somewhat Sensitive,True,No Preference,82
None,High,Very Sensitive,False,Standard,83
High,None,Somewhat Sensitive,False,No Preference,84
High,High,Somewhat Sensitive,True,No Preference,85
Low,None,Somewhat Sensitive,True,Standard,86
Medium,High,Somewhat Sensitive,False,No Preference,87
Low,High,Not Sensitive,True,No Preference,88
Medium,Medium,Somewhat Sensitive,False,Standard,89
Medium,Medium,Not Sensitive,True,Standard,90
Low,Low,Somewhat Sensitive,True,Standard,91
High,None,Not Sensitive,False,No Preference,92
None,Low,Somewhat Sensitive,True,No Preference,93
Medium,High,Very Sensitive,False,No Preference,94
Medium,High,Very Sensitive,True,Standard,95
Medium,Medium,Very Sensitive,True,Express,96
High,Low,Somewhat Sensitive,True,Express,97
Low,Low,Not Sensitive,True,Standard,98
Low,Medium,Very Sensitive,True,Express,99
Medium,Medium,Not Sensitive,False,No Preference,100
Medium,Medium,Very Sensitive,True,Standard,101
High,None,Somewhat Sensitive,True,Express,102
Medium,Low,Somewhat Sensitive,False,Express,103
High,Medium,Very Sensitive,True,Express,104
High,None,Not Sensitive,True,Express,105
Low,High,Not Sensitive,False,No Preference,106
Low,None,Not Sensitive,True,No Preference,107
High,Medium,Very Sensitive,False,No Preference,108
High,None,Very Sensitive,False,Express,109
Medium,High,Somewhat Sensitive,True,Standard,110
None,Medium,Somewhat Sensitive,True,No Preference,111
Low,High,Not Sensitive,True,Standard,112
High,None,Somewhat Sensitive,True,No Preference,113
None,None,Not Sensitive,False,No Preference,114
None,Low,Very Sensitive,False,No Preference,115
Medium,High,Somewhat Sensitive,False,Express,116
Low,None,Not Sensitive,True,Standard,117
None,Low,Not Sensitive,False,Express,118
Medium,Low,Very Sensitive,False,Express,119
Medium,None,Very Sensitive,False,Express,120
High,High,Somewhat Sensitive,False,Standard,121
None,Low,Very Sensitive,True,Express,122
None,High,Not Sensitive,True,Express,123
Low,None,Very Sensitive,False,Express,124
High,Low,Not Sensitive,True,No Preference,125
Medium,High,Not Sensitive,False,Standard,126
Low,High,Very Sensitive,False,Express,127
Medium,None,Not Sensitive,True,Express,128
None,High,Somewhat Sensitive,False,Standard,129
Low,Low,Very Sensitive,False,No Preference,130
Low,High,Somewhat Sensitive,False,No Preference,131
Low,Low,Very Sensitive,False,Standard,132
None,Medium,Somewhat Sensitive,True,Express,133
Low,None,Somewhat Sensitive,False,Express,134
None,Low,Very Sensitive,True,Standard,135
Low,None,Very Sensitive,False,No Preference,136
High,Low,Somewhat Sensitive,False,Express,137
None,Low,Very Sensitive,False,Standard,138
Medium,None,Somewhat Sensitive,True,Express,139
Low,High,Somewhat Sensitive,False,Standard,140
Medium,High,Very Sensitive,True,Express,141
High,None,Not Sensitive,False,Express,142
Medium,Low,Somewhat Sensitive,False,No Preference,143
High,High,Very Sensitive,False,Standard,144
None,None,Very Sensitive,False,Express,145
High,High,Not Sensitive,False,Express,146
Medium,Low,Very Sensitive,True,Standard,147
Low,Low,Not Sensitive,False,Express,148
None,Low,Not Sensitive,True,Standard,149
High,Medium,Somewhat Sensitive,True,Express,150
Low,Low,Not Sensitive,True,Express,151
Low,None,Not Sensitive,False,Standard,152
Medium,Low,Very Sensitive,True,No Preference,153
None,Medium,Very Sensitive,False,Standard,154
None,High,Not Sensitive,False,Express,155
Medium,Low,Not Sensitive,False,Standard,156
Low,Medium,Very Sensitive,True,No Preference,157
None,High,Very Sensitive,False,No Preference,158
Low,High,Very Sensitive,True,No Preference,159
Low,Low,Very Sensitive,True,No Preference,160
High,Medium,Very Sensitive,False,Express,161
Medium,Medium,Somewhat Sensitive,False,No Preference,162
High,Medium,Very Sensitive,False,Standard,163
None,None,Very Sensitive,False,Standard,164
Medium,High,Very Sensitive,True,No Preference,165
Low,High,Not Sensitive,True,Express,166
Low,Medium,Somewhat Sensitive,False,No Preference,167
Low,Low,Somewhat Sensitive,False,Standard,168
None,Medium,Somewhat Sensitive,False,No Preference,169
Medium,High,Not Sensitive,True,Express,170
High,Medium,Not Sensitive,True,Express,171
Medium,None,Very Sensitive,False,Standard,172
Medium,High,Somewhat Sensitive,True,Express,173
High,Low,Not Sensitive,False,Standard,174
High,Low,Not Sensitive,True,Standard,175
Medium,High,Somewhat Sensitive,True,No Preference,176
Medium,Medium,Not Sensitive,True,Express,177
High,None,Somewhat Sensitive,False,Standard,178
Medium,Low,Not Sensitive,True,Express,179
None,Low,Not Sensitive,False,No Preference,180
High,Low,Not Sensitive,False,No Preference,181
Medium,Low,Not Sensitive,False,No Preference,182
None,None,Very Sensitive,False,No Preference,183
None,Low,Somewhat Sensitive,True,Standard,184
None,High,Very Sensitive,True,Standard,185
High,Low,Somewhat Sensitive,True,Standard,186
Medium,High,Somewhat Sensitive,False,Standard,187
High,Low,Very Sensitive,False,Express,188
Medium,Medium,Not Sensitive,False,Standard,189
High,High,Not Sensitive,True,Express,190
None,Low,Very Sensitive,False,Express,191
Low,Medium,Not Sensitive,False,Standard,192
None,High,Not Sensitive,True,Standard,193
Medium,Low,Not Sensitive,False,Express,194
Low,None,Not Sensitive,True,Express,195
High,High,Very Sensitive,True,Express,196
None,Medium,Very Sensitive,True,Standard,197
None,None,Not Sensitive,False,Standard,198
Low,High,Somewhat Sensitive,False,Express,199
None,Low,Somewhat Sensitive,True,Express,200
None,Medium,Somewhat Sensitive,False,Express,201
Medium,Medium,Somewhat Sensitive,True,Standard,202
None,Medium,Somewhat Sensitive,False,Standard,203
Low,Low,Very Sensitive,True,Standard,204
Medium,High,Very Sensitive,False,Standard,205
Medium,None,Somewhat Sensitive,True,Standard,206
Low,High,Somewhat Sensitive,True,Standard,207
Low,Low,Not Sensitive,False,Standard,208
Medium,Low,Not Sensitive,True,Standard,209
Low,Medium,Not Sensitive,False,Express,210
Medium,High,Not Sensitive,False,No Preference,211
High,Medium,Very Sensitive,True,Standard,212
Low,Medium,Somewhat Sensitive,True,No Preference,213
Medium,None,Very Sensitive,False,No Preference,214
None,None,Somewhat Sensitive,True,Express,215
High,Medium,Not Sensitive,True,No Preference,216
None,High,Not Sensitive,False,Standard,217
None,None,Not Sensitive,True,Express,218
High,Low,Not Sensitive,False,Express,219
Low,Low,Somewhat Sensitive,True,No Preference,220
Low,Medium,Somewhat Sensitive,False,Standard,221
None,None,Somewhat Sensitive,False,Standard,222
High,Low,Very Sensitive,True,Standard,223
Medium,None,Somewhat Sensitive,False,No Preference,224
Low,Low,Very Sensitive,True,Express,225
None,Low,Somewhat Sensitive,False,Standard,226
Medium,Medium,Not Sensitive,True,No Preference,227
High,High,Very Sensitive,False,Express,228
Low,None,Somewhat Sensitive,True,Express,229
High,High,Very Sensitive,False,No Preference,230
None,Low,Very Sensitive,True,No Preference,231
Low,Medium,Somewhat Sensitive,False,Express,232
None,None,Very Sensitive,True,No Preference,233
Low,None,Somewhat Sensitive,False,No Preference,234
High,High,Somewhat Sensitive,False,No Preference,235
Low,High,Very Sensitive,True,Standard,236
Medium,Medium,Somewhat Sensitive,True,Express,237
High,None,Somewhat Sensitive,False,Express,238
Medium,None,Not Sensitive,False,Express,239
High,None,Not Sensitive,True,No Preference,240
Low,Low,Somewhat Sensitive,True,Express,241
Low,None,Not Sensitive,False,Express,242
High,Medium,Not Sensitive,False,No Preference,243
Low,Medium,Somewhat Sensitive,True,Express,244
Medium,None,Very Sensitive,True,Express,245
Low,High,Very Sensitive,False,No Preference,246
Low,Medium,Not Sensitive,True,Express,247
High,Medium,Somewhat Sensitive,True,Standard,248
None,Medium,Very Sensitive,True,No Preference,249
High,None,Not Sensitive,True,Standard,250
Low,Low,Somewhat Sensitive,False,No Preference,251
None,None,Somewhat Sensitive,False,No Preference,252
Medium,High,Not Sensitive,True,No Preference,253
Low,Medium,Somewhat Sensitive,True,Standard,254
High,None,Very Sensitive,False,Standard,255
None,Medium,Not Sensitive,True,No Preference,256
Low,Low,Very Sensitive,False,Express,257
Low,High,Not Sensitive,False,Express,258
Medium,Low,Very Sensitive,True,Express,259
Low,Medium,Very Sensitive,False,Express,260
Medium,Medium,Very Sensitive,True,No Preference,261
None,Low,Not Sensitive,True,Express,262
None,None,Somewhat Sensitive,False,Express,263
High,None,Not Sensitive,False,Standard,264
None,None,Not Sensitive,True,Standard,265
Medium,Medium,Very Sensitive,False,Standard,266
Medium,Low,Not Sensitive,True,No Preference,267
High,High,Very Sensitive,True,No Preference,268
Low,Low,Somewhat Sensitive,False,Express,269
Medium,High,Very Sensitive,False,Express,270
Low,High,Very Sensitive,True,Express,271
High,None,Very Sensitive,False,No Preference,272
Low,Medium,Not Sensitive,True,No Preference,273
Low,None,Somewhat Sensitive,False,Standard,274
Medium,None,Not Sensitive,False,Standard,275
None,Low,Not Sensitive,True,No Preference,276
Medium,Medium,Not Sensitive,False,Express,277
